Freq.	V(Vi)/I(V1)
1.09144033644875e+002	(1.14649125281509e+002dB,9.00498706100167e+001°)
1.09395636627209e+002	(1.14629125271963e+002dB,9.00499855737339e+001°)
1.09647819614318e+002	(1.14609125262373e+002dB,9.00501008024944e+001°)
1.09900583943252e+002	(1.14589125252739e+002dB,9.00502162968428e+001°)
1.10153930954141e+002	(1.14569125243060e+002dB,9.00503320574369e+001°)
1.10407861990207e+002	(1.14549125233336e+002dB,9.00504480849110e+001°)
1.10662378397766e+002	(1.14529125223568e+002dB,9.00505643798752e+001°)
1.10917481526240e+002	(1.14509125213754e+002dB,9.00506809428489e+001°)
1.11173172728159e+002	(1.14489125203895e+002dB,9.00507977745984e+001°)
1.11429453359173e+002	(1.14469125193991e+002dB,9.00509148756629e+001°)
1.11686324778056e+002	(1.14449125184041e+002dB,9.00510322466262e+001°)
1.11943788346715e+002	(1.14429125174045e+002dB,9.00511498882491e+001°)
1.12201845430196e+002	(1.14409125164002e+002dB,9.00512678010004e+001°)
1.12460497396692e+002	(1.14389125153914e+002dB,9.00513859855927e+001°)
1.12719745617551e+002	(1.14369125143779e+002dB,9.00515044425813e+001°)
1.12979591467279e+002	(1.14349125133597e+002dB,9.00516231726968e+001°)
1.13240036323555e+002	(1.14329125123368e+002dB,9.00517421764464e+001°)
1.13501081567231e+002	(1.14309125113092e+002dB,9.00518614545785e+001°)
1.13762728582343e+002	(1.14289125102768e+002dB,9.00519810076845e+001°)
1.14024978756117e+002	(1.14269125092397e+002dB,9.00521008363976e+001°)
1.14287833478977e+002	(1.14249125081978e+002dB,9.00522209413268e+001°)
1.14551294144553e+002	(1.14229125071511e+002dB,9.00523413231223e+001°)
1.14815362149688e+002	(1.14209125060996e+002dB,9.00524619824101e+001°)
1.15080038894443e+002	(1.14189125050432e+002dB,9.00525829199218e+001°)
1.15345325782109e+002	(1.14169125039819e+002dB,9.00527041361040e+001°)
1.15611224219209e+002	(1.14149125029157e+002dB,9.00528256318342e+001°)
1.15877735615512e+002	(1.14129125018446e+002dB,9.00529474075750e+001°)
1.16144861384034e+002	(1.14109125007686e+002dB,9.00530694640243e+001°)
1.16412602941049e+002	(1.14089124996876e+002dB,9.00531918019192e+001°)
1.16680961706096e+002	(1.14069124986016e+002dB,9.00533144217781e+001°)
1.16949939101987e+002	(1.14049124975106e+002dB,9.00534373242886e+001°)
1.17219536554813e+002	(1.14029124964145e+002dB,9.00535605101765e+001°)
1.17489755493952e+002	(1.14009124953134e+002dB,9.00536839800147e+001°)
1.17760597352080e+002	(1.13989124942073e+002dB,9.00538077344790e+001°)
1.18032063565172e+002	(1.13969124930960e+002dB,9.00539317742198e+001°)
1.18304155572516e+002	(1.13949124919795e+002dB,9.00540560999262e+001°)
1.18576874816716e+002	(1.13929124908580e+002dB,9.00541807121982e+001°)
1.18850222743701e+002	(1.13909124897312e+002dB,9.00543056117373e+001°)
1.19124200802737e+002	(1.13889124885993e+002dB,9.00544307992196e+001°)
1.19398810446427e+002	(1.13869124874621e+002dB,9.00545562752325e+001°)
1.19674053130724e+002	(1.13849124863197e+002dB,9.00546820405897e+001°)
1.19949930314937e+002	(1.13829124851720e+002dB,9.00548080958278e+001°)
1.20226443461741e+002	(1.13809124840190e+002dB,9.00549344416461e+001°)
1.20503594037179e+002	(1.13789124828607e+002dB,9.00550610787181e+001°)
1.20781383510677e+002	(1.13769124816970e+002dB,9.00551880076916e+001°)
1.21059813355048e+002	(1.13749124805280e+002dB,9.00553152293127e+001°)
1.21338885046497e+002	(1.13729124793535e+002dB,9.00554427442395e+001°)
1.21618600064636e+002	(1.13709124781737e+002dB,9.00555705530424e+001°)
1.21898959892486e+002	(1.13689124769884e+002dB,9.00556986565132e+001°)
1.22179966016487e+002	(1.13669124757976e+002dB,9.00558270552937e+001°)
1.22461619926504e+002	(1.13649124746014e+002dB,9.00559557500616e+001°)
1.22743923115840e+002	(1.13629124733996e+002dB,9.00560847415293e+001°)
1.23026877081238e+002	(1.13609124721922e+002dB,9.00562140303220e+001°)
1.23310483322890e+002	(1.13589124709793e+002dB,9.00563436171608e+001°)
1.23594743344450e+002	(1.13569124697608e+002dB,9.00564735027403e+001°)
1.23879658653036e+002	(1.13549124685367e+002dB,9.00566036877286e+001°)
1.24165230759240e+002	(1.13529124673069e+002dB,9.00567341728280e+001°)
1.24451461177138e+002	(1.13509124660715e+002dB,9.00568649587145e+001°)
1.24738351424294e+002	(1.13489124648303e+002dB,9.00569960460974e+001°)
1.25025903021771e+002	(1.13469124635834e+002dB,9.00571274357197e+001°)
1.25314117494141e+002	(1.13449124623308e+002dB,9.00572591281773e+001°)
1.25602996369487e+002	(1.13429124610723e+002dB,9.00573911242198e+001°)
1.25892541179416e+002	(1.13409124598081e+002dB,9.00575234245692e+001°)
1.26182753459066e+002	(1.13389124585380e+002dB,9.00576560298614e+001°)
1.26473634747114e+002	(1.13369124572621e+002dB,9.00577889408837e+001°)
1.26765186585784e+002	(1.13349124559803e+002dB,9.00579221582775e+001°)
1.27057410520853e+002	(1.13329124546925e+002dB,9.00580556827756e+001°)
1.27350308101665e+002	(1.13309124533989e+002dB,9.00581895150837e+001°)
1.27643880881134e+002	(1.13289124520992e+002dB,9.00583236558804e+001°)
1.27938130415752e+002	(1.13269124507936e+002dB,9.00584581059346e+001°)
1.28233058265601e+002	(1.13249124494819e+002dB,9.00585928659288e+001°)
1.28528665994361e+002	(1.13229124481641e+002dB,9.00587279365770e+001°)
1.28824955169313e+002	(1.13209124468403e+002dB,9.00588633185658e+001°)
1.29121927361353e+002	(1.13189124455104e+002dB,9.00589990126707e+001°)
1.29419584144998e+002	(1.13169124441743e+002dB,9.00591350195813e+001°)
1.29717927098395e+002	(1.13149124428321e+002dB,9.00592713400176e+001°)
1.30016957803328e+002	(1.13129124414837e+002dB,9.00594079747299e+001°)
1.30316677845229e+002	(1.13109124401290e+002dB,9.00595449243827e+001°)
1.30617088813183e+002	(1.13089124387681e+002dB,9.00596821897285e+001°)
1.30918192299940e+002	(1.13069124374009e+002dB,9.00598197715486e+001°)
1.31219989901920e+002	(1.13049124360274e+002dB,9.00599576705391e+001°)
1.31522483219223e+002	(1.13029124346476e+002dB,9.00600958873683e+001°)
1.31825673855640e+002	(1.13009124332614e+002dB,9.00602344228478e+001°)
1.32129563418657e+002	(1.12989124318688e+002dB,9.00603732777036e+001°)
1.32434153519466e+002	(1.12969124304698e+002dB,9.00605124525770e+001°)
1.32739445772973e+002	(1.12949124290643e+002dB,9.00606519483645e+001°)
1.33045441797808e+002	(1.12929124276523e+002dB,9.00607917657073e+001°)
1.33352143216332e+002	(1.12909124262338e+002dB,9.00609319053317e+001°)
1.33659551654643e+002	(1.12889124248088e+002dB,9.00610723680481e+001°)
1.33967668742593e+002	(1.12869124233772e+002dB,9.00612131545256e+001°)
1.34276496113786e+002	(1.12849124219389e+002dB,9.00613542655731e+001°)
1.34586035405594e+002	(1.12829124204941e+002dB,9.00614957019705e+001°)
1.34896288259165e+002	(1.12809124190425e+002dB,9.00616374643573e+001°)
1.35207256319427e+002	(1.12789124175843e+002dB,9.00617795535119e+001°)
1.35518941235103e+002	(1.12769124161193e+002dB,9.00619219702940e+001°)
1.35831344658715e+002	(1.12749124146476e+002dB,9.00620647153131e+001°)
1.36144468246594e+002	(1.12729124131691e+002dB,9.00622077894261e+001°)
1.36458313658892e+002	(1.12709124116837e+002dB,9.00623511933502e+001°)
1.36772882559584e+002	(1.12689124101915e+002dB,9.00624949278290e+001°)
1.37088176616484e+002	(1.12669124086924e+002dB,9.00626389936861e+001°)
1.37404197501251e+002	(1.12649124071864e+002dB,9.00627833916610e+001°)
1.37720946889394e+002	(1.12629124056735e+002dB,9.00629281225187e+001°)
1.38038426460288e+002	(1.12609124041535e+002dB,9.00630731869946e+001°)
1.38356637897177e+002	(1.12589124026266e+002dB,9.00632185858495e+001°)
1.38675582887188e+002	(1.12569124010926e+002dB,9.00633643199227e+001°)
1.38995263121334e+002	(1.12549123995515e+002dB,9.00635103899155e+001°)
1.39315680294529e+002	(1.12529123980033e+002dB,9.00636567966619e+001°)
1.39636836105593e+002	(1.12509123964479e+002dB,9.00638035409119e+001°)
1.39958732257261e+002	(1.12489123948854e+002dB,9.00639506234393e+001°)
1.40281370456195e+002	(1.12469123933157e+002dB,9.00640980450421e+001°)
1.40604752412990e+002	(1.12449123917387e+002dB,9.00642458064878e+001°)
1.40928879842186e+002	(1.12429123901544e+002dB,9.00643939085143e+001°)
1.41253754462274e+002	(1.12409123885629e+002dB,9.00645423519891e+001°)
1.41579377995707e+002	(1.12389123869639e+002dB,9.00646911376961e+001°)
1.41905752168908e+002	(1.12369123853576e+002dB,9.00648402663359e+001°)
1.42232878712281e+002	(1.12349123837439e+002dB,9.00649897387380e+001°)
1.42560759360218e+002	(1.12329123821227e+002dB,9.00651395558066e+001°)
1.42889395851109e+002	(1.12309123804941e+002dB,9.00652897181518e+001°)
1.43218789927353e+002	(1.12289123788579e+002dB,9.00654402266695e+001°)
1.43548943335365e+002	(1.12269123772142e+002dB,9.00655910821716e+001°)
1.43879857825583e+002	(1.12249123755629e+002dB,9.00657422854395e+001°)
1.44211535152486e+002	(1.12229123739040e+002dB,9.00658938372240e+001°)
1.44543977074592e+002	(1.12209123722374e+002dB,9.00660457384014e+001°)
1.44877185354475e+002	(1.12189123705631e+002dB,9.00661979897648e+001°)
1.45211161758773e+002	(1.12169123688811e+002dB,9.00663505920764e+001°)
1.45545908058195e+002	(1.12149123671914e+002dB,9.00665035461711e+001°)
1.45881426027534e+002	(1.12129123654938e+002dB,9.00666568529040e+001°)
1.46217717445671e+002	(1.12109123637884e+002dB,9.00668105129958e+001°)
1.46554784095590e+002	(1.12089123620751e+002dB,9.00669645273421e+001°)
1.46892627764385e+002	(1.12069123603539e+002dB,9.00671188967550e+001°)
1.47231250243271e+002	(1.12049123586248e+002dB,9.00672736219648e+001°)
1.47570653327588e+002	(1.12029123568877e+002dB,9.00674287039252e+001°)
1.47910838816819e+002	(1.12009123551426e+002dB,9.00675841433037e+001°)
1.48251808514594e+002	(1.11989123533894e+002dB,9.00677399410917e+001°)
1.48593564228699e+002	(1.11969123516281e+002dB,9.00678960979955e+001°)
1.48936107771090e+002	(1.11949123498587e+002dB,9.00680526148416e+001°)
1.49279440957898e+002	(1.11929123480811e+002dB,9.00682094925755e+001°)
1.49623565609442e+002	(1.11909123462953e+002dB,9.00683667318595e+001°)
1.49968483550236e+002	(1.11889123445013e+002dB,9.00685243336754e+001°)
1.50314196609001e+002	(1.11869123426990e+002dB,9.00686822988220e+001°)
1.50660706618673e+002	(1.11849123408884e+002dB,9.00688406280666e+001°)
1.51008015416413e+002	(1.11829123390694e+002dB,9.00689993223436e+001°)
1.51356124843619e+002	(1.11809123372421e+002dB,9.00691583824552e+001°)
1.51705036745932e+002	(1.11789123354063e+002dB,9.00693178092214e+001°)
1.52054752973248e+002	(1.11769123335620e+002dB,9.00694776034791e+001°)
1.52405275379728e+002	(1.11749123317092e+002dB,9.00696377661316e+001°)
1.52756605823806e+002	(1.11729123298478e+002dB,9.00697982979508e+001°)
1.53108746168202e+002	(1.11709123279779e+002dB,9.00699591998728e+001°)
1.53461698279928e+002	(1.11689123260993e+002dB,9.00701204727515e+001°)
1.53815464030302e+002	(1.11669123242121e+002dB,9.00702821173593e+001°)
1.54170045294954e+002	(1.11649123223161e+002dB,9.00704441346311e+001°)
1.54525443953840e+002	(1.11629123204114e+002dB,9.00706065253713e+001°)
1.54881661891247e+002	(1.11609123184979e+002dB,9.00707692904486e+001°)
1.55238700995807e+002	(1.11589123165756e+002dB,9.00709324307471e+001°)
1.55596563160506e+002	(1.11569123146444e+002dB,9.00710959471175e+001°)
1.55955250282694e+002	(1.11549123127043e+002dB,9.00712598404738e+001°)
1.56314764264094e+002	(1.11529123107552e+002dB,9.00714241116003e+001°)
1.56675107010813e+002	(1.11509123087972e+002dB,9.00715887614402e+001°)
1.57036280433354e+002	(1.11489123068301e+002dB,9.00717537908074e+001°)
1.57398286446620e+002	(1.11469123048539e+002dB,9.00719192006255e+001°)
1.57761126969933e+002	(1.11449123028686e+002dB,9.00720849917844e+001°)
1.58124803927037e+002	(1.11429123008741e+002dB,9.00722511650927e+001°)
1.58489319246110e+002	(1.11409122988704e+002dB,9.00724177214680e+001°)
1.58854674859776e+002	(1.11389122968575e+002dB,9.00725846618410e+001°)
1.59220872705115e+002	(1.11369122948353e+002dB,9.00727519870138e+001°)
1.59587914723672e+002	(1.11349122928037e+002dB,9.00729196979435e+001°)
1.59955802861465e+002	(1.11329122907628e+002dB,9.00730877954587e+001°)
1.60324539069002e+002	(1.11309122887125e+002dB,9.00732562804950e+001°)
1.60694125301286e+002	(1.11289122866527e+002dB,9.00734251539064e+001°)
1.61064563517825e+002	(1.11269122845834e+002dB,9.00735944166530e+001°)
1.61435855682647e+002	(1.11249122825045e+002dB,9.00737640695671e+001°)
1.61808003764305e+002	(1.11229122804160e+002dB,9.00739341135861e+001°)
1.62181009735891e+002	(1.11209122783179e+002dB,9.00741045495666e+001°)
1.62554875575047e+002	(1.11189122762101e+002dB,9.00742753785152e+001°)
1.62929603263970e+002	(1.11169122740926e+002dB,9.00744466012192e+001°)
1.63305194789432e+002	(1.11149122719653e+002dB,9.00746182186158e+001°)
1.63681652142779e+002	(1.11129122698282e+002dB,9.00747902316531e+001°)
1.64058977319952e+002	(1.11109122676812e+002dB,9.00749626412437e+001°)
1.64437172321491e+002	(1.11089122655244e+002dB,9.00751354482656e+001°)
1.64816239152549e+002	(1.11069122633575e+002dB,9.00753086536529e+001°)
1.65196179822900e+002	(1.11049122611807e+002dB,9.00754822583044e+001°)
1.65576996346951e+002	(1.11029122589938e+002dB,9.00756562631746e+001°)
1.65958690743754e+002	(1.11009122567968e+002dB,9.00758306691825e+001°)
1.66341265037015e+002	(1.10989122545897e+002dB,9.00760054772115e+001°)
1.66724721255104e+002	(1.10969122523724e+002dB,9.00761806882451e+001°)
1.67109061431069e+002	(1.10949122501448e+002dB,9.00763563031410e+001°)
1.67494287602642e+002	(1.10929122479070e+002dB,9.00765323229010e+001°)
1.67880401812254e+002	(1.10909122456588e+002dB,9.00767087484460e+001°)
1.68267406107045e+002	(1.10889122434003e+002dB,9.00768855806611e+001°)
1.68655302538872e+002	(1.10869122411313e+002dB,9.00770628205740e+001°)
1.69044093164324e+002	(1.10849122388519e+002dB,9.00772404689982e+001°)
1.69433780044731e+002	(1.10829122365619e+002dB,9.00774185269779e+001°)
1.69824365246172e+002	(1.10809122342614e+002dB,9.00775969954319e+001°)
1.70215850839493e+002	(1.10789122319503e+002dB,9.00777758753312e+001°)
1.70608238900310e+002	(1.10769122296285e+002dB,9.00779551675225e+001°)
1.71001531509027e+002	(1.10749122272959e+002dB,9.00781348730802e+001°)
1.71395730750840e+002	(1.10729122249526e+002dB,9.00783149928659e+001°)
1.71790838715757e+002	(1.10709122225985e+002dB,9.00784955279242e+001°)
1.72186857498599e+002	(1.10689122202336e+002dB,9.00786764791312e+001°)
1.72583789199018e+002	(1.10669122178577e+002dB,9.00788578474578e+001°)
1.72981635921508e+002	(1.10649122154708e+002dB,9.00790396339246e+001°)
1.73380399775412e+002	(1.10629122130729e+002dB,9.00792218394281e+001°)
1.73780082874935e+002	(1.10609122106640e+002dB,9.00794044649583e+001°)
1.74180687339159e+002	(1.10589122082439e+002dB,9.00795875115108e+001°)
1.74582215292048e+002	(1.10569122058127e+002dB,9.00797709800009e+001°)
1.74984668862463e+002	(1.10549122033702e+002dB,9.00799548714361e+001°)
1.75388050184174e+002	(1.10529122009165e+002dB,9.00801391867858e+001°)
1.75792361395867e+002	(1.10509121984514e+002dB,9.00803239270677e+001°)
1.76197604641161e+002	(1.10489121959750e+002dB,9.00805090931767e+001°)
1.76603782068614e+002	(1.10469121934871e+002dB,9.00806946861830e+001°)
1.77010895831740e+002	(1.10449121909878e+002dB,9.00808807069914e+001°)
1.77418948089014e+002	(1.10429121884769e+002dB,9.00810671566389e+001°)
1.77827941003890e+002	(1.10409121859544e+002dB,9.00812540360817e+001°)
1.78237876744807e+002	(1.10389121834203e+002dB,9.00814413463651e+001°)
1.78648757485203e+002	(1.10369121808745e+002dB,9.00816290884118e+001°)
1.79060585403527e+002	(1.10349121783169e+002dB,9.00818172632745e+001°)
1.79473362683250e+002	(1.10329121757476e+002dB,9.00820058718838e+001°)
1.79887091512876e+002	(1.10309121731663e+002dB,9.00821949153412e+001°)
1.80301774085954e+002	(1.10289121705732e+002dB,9.00823843945424e+001°)
1.80717412601090e+002	(1.10269121679681e+002dB,9.00825743105948e+001°)
1.81134009261958e+002	(1.10249121653509e+002dB,9.00827646644007e+001°)
1.81551566277311e+002	(1.10229121627217e+002dB,9.00829554570313e+001°)
1.81970085860996e+002	(1.10209121600804e+002dB,9.00831466895186e+001°)
1.82389570231961e+002	(1.10189121574268e+002dB,9.00833383628145e+001°)
1.82810021614272e+002	(1.10169121547610e+002dB,9.00835304779968e+001°)
1.83231442237119e+002	(1.10149121520829e+002dB,9.00837230360218e+001°)
1.83653834334832e+002	(1.10129121493925e+002dB,9.00839160379300e+001°)
1.84077200146893e+002	(1.10109121466896e+002dB,9.00841094848040e+001°)
1.84501541917945e+002	(1.10089121439742e+002dB,9.00843033775647e+001°)
1.84926861897805e+002	(1.10069121412463e+002dB,9.00844977173380e+001°)
1.85353162341478e+002	(1.10049121385059e+002dB,9.00846925050881e+001°)
1.85780445509167e+002	(1.10029121357527e+002dB,9.00848877419020e+001°)
1.86208713666284e+002	(1.10009121329869e+002dB,9.00850834287860e+001°)
1.86637969083464e+002	(1.09989121302083e+002dB,9.00852795667474e+001°)
1.87068214036577e+002	(1.09969121274169e+002dB,9.00854761568744e+001°)
1.87499450806739e+002	(1.09949121246125e+002dB,9.00856732002146e+001°)
1.87931681680324e+002	(1.09929121217953e+002dB,9.00858706977361e+001°)
1.88364908948977e+002	(1.09909121189650e+002dB,9.00860686505664e+001°)
1.88799134909627e+002	(1.09889121161217e+002dB,9.00862670597128e+001°)
1.89234361864495e+002	(1.09869121132653e+002dB,9.00864659262618e+001°)
1.89670592121112e+002	(1.09849121103956e+002dB,9.00866652512591e+001°)
1.90107827992327e+002	(1.09829121075127e+002dB,9.00868650357497e+001°)
1.90546071796322e+002	(1.09809121046165e+002dB,9.00870652807775e+001°)
1.90985325856621e+002	(1.09789121017070e+002dB,9.00872659874243e+001°)
1.91425592502106e+002	(1.09769120987840e+002dB,9.00874671567705e+001°)
1.91866874067026e+002	(1.09749120958475e+002dB,9.00876687898163e+001°)
1.92309172891013e+002	(1.09729120928975e+002dB,9.00878708877168e+001°)
1.92752491319091e+002	(1.09709120899339e+002dB,9.00880734514685e+001°)
1.93196831701689e+002	(1.09689120869565e+002dB,9.00882764822217e+001°)
1.93642196394658e+002	(1.09669120839655e+002dB,9.00884799810072e+001°)
1.94088587759275e+002	(1.09649120809606e+002dB,9.00886839488925e+001°)
1.94536008162263e+002	(1.09629120779418e+002dB,9.00888883869809e+001°)
1.94984459975802e+002	(1.09609120749092e+002dB,9.00890932963724e+001°)
1.95433945577536e+002	(1.09589120718625e+002dB,9.00892986780871e+001°)
1.95884467350596e+002	(1.09569120688017e+002dB,9.00895045332955e+001°)
1.96336027683602e+002	(1.09549120657269e+002dB,9.00897108630109e+001°)
1.96788628970681e+002	(1.09529120626378e+002dB,9.00899176684342e+001°)
1.97242273611482e+002	(1.09509120595345e+002dB,9.00901249505334e+001°)
1.97696964011183e+002	(1.09489120564168e+002dB,9.00903327105012e+001°)
1.98152702580507e+002	(1.09469120532848e+002dB,9.00905409494115e+001°)
1.98609491735734e+002	(1.09449120501383e+002dB,9.00907496683719e+001°)
1.99067333898716e+002	(1.09429120469773e+002dB,9.00909588684475e+001°)
1.99526231496885e+002	(1.09409120438017e+002dB,9.00911685508120e+001°)
1.99986186963271e+002	(1.09389120406114e+002dB,9.00913787165583e+001°)
2.00447202736513e+002	(1.09369120374065e+002dB,9.00915893667369e+001°)
2.00909281260870e+002	(1.09349120341867e+002dB,9.00918005025801e+001°)
2.01372424986236e+002	(1.09329120309520e+002dB,9.00920121250904e+001°)
2.01836636368153e+002	(1.09309120277025e+002dB,9.00922242354883e+001°)
2.02301917867824e+002	(1.09289120244379e+002dB,9.00924368348393e+001°)
2.02768271952125e+002	(1.09269120211582e+002dB,9.00926499242773e+001°)
2.03235701093619e+002	(1.09249120178635e+002dB,9.00928635049668e+001°)
2.03704207770569e+002	(1.09229120145535e+002dB,9.00930775779917e+001°)
2.04173794466950e+002	(1.09209120112282e+002dB,9.00932921445035e+001°)
2.04644463672464e+002	(1.09189120078876e+002dB,9.00935072056829e+001°)
2.05116217882553e+002	(1.09169120045316e+002dB,9.00937227625939e+001°)
2.05589059598411e+002	(1.09149120011600e+002dB,9.00939388164396e+001°)
2.06062991326997e+002	(1.09129119977729e+002dB,9.00941553683426e+001°)
2.06538015581050e+002	(1.09109119943702e+002dB,9.00943724194543e+001°)
2.07014134879101e+002	(1.09089119909518e+002dB,9.00945899709183e+001°)
2.07491351745488e+002	(1.09069119875176e+002dB,9.00948080238703e+001°)
2.07969668710366e+002	(1.09049119840675e+002dB,9.00950265795104e+001°)
2.08449088309726e+002	(1.09029119806016e+002dB,9.00952456389936e+001°)
2.08929613085401e+002	(1.09009119771196e+002dB,9.00954652034668e+001°)
2.09411245585086e+002	(1.08989119736215e+002dB,9.00956852740680e+001°)
2.09893988362349e+002	(1.08969119701073e+002dB,9.00959058519984e+001°)
2.10377843976644e+002	(1.08949119665769e+002dB,9.00961269384139e+001°)
2.10862814993325e+002	(1.08929119630302e+002dB,9.00963485344969e+001°)
2.11348903983661e+002	(1.08909119594671e+002dB,9.00965706414203e+001°)
2.11836113524847e+002	(1.08889119558876e+002dB,9.00967932603474e+001°)
2.12324446200018e+002	(1.08869119522915e+002dB,9.00970163924673e+001°)
2.12813904598268e+002	(1.08849119486789e+002dB,9.00972400389940e+001°)
2.13304491314654e+002	(1.08829119450495e+002dB,9.00974642010258e+001°)
2.13796208950220e+002	(1.08809119414035e+002dB,9.00976888798618e+001°)
2.14289060112002e+002	(1.08789119377405e+002dB,9.00979140766145e+001°)
2.14783047413050e+002	(1.08769119340607e+002dB,9.00981397924914e+001°)
2.15278173472434e+002	(1.08749119303639e+002dB,9.00983660287234e+001°)
2.15774440915263e+002	(1.08729119266501e+002dB,9.00985927864957e+001°)
2.16271852372698e+002	(1.08709119229191e+002dB,9.00988200669820e+001°)
2.16770410481966e+002	(1.08689119191708e+002dB,9.00990478714141e+001°)
2.17270117886371e+002	(1.08669119154053e+002dB,9.00992762010119e+001°)
2.17770977235312e+002	(1.08649119116224e+002dB,9.00995050569489e+001°)
2.18272991184296e+002	(1.08629119078220e+002dB,9.00997344404557e+001°)
2.18776162394951e+002	(1.08609119040041e+002dB,9.00999643527504e+001°)
2.19280493535041e+002	(1.08589119001686e+002dB,9.01001947950731e+001°)
2.19785987278479e+002	(1.08569118963153e+002dB,9.01004257686167e+001°)
2.20292646305342e+002	(1.08549118924443e+002dB,9.01006572745958e+001°)
2.20800473301886e+002	(1.08529118885554e+002dB,9.01008893142802e+001°)
2.21309470960560e+002	(1.08509118846486e+002dB,9.01011218888581e+001°)
2.21819641980018e+002	(1.08489118807237e+002dB,9.01013549995727e+001°)
2.22330989065136e+002	(1.08469118767807e+002dB,9.01015886477207e+001°)
2.22843514927026e+002	(1.08449118728195e+002dB,9.01018228344167e+001°)
2.23357222283049e+002	(1.08429118688400e+002dB,9.01020575610307e+001°)
2.23872113856830e+002	(1.08409118648422e+002dB,9.01022928287167e+001°)
2.24388192378273e+002	(1.08389118608259e+002dB,9.01025286387825e+001°)
2.24905460583574e+002	(1.08369118567910e+002dB,9.01027649924206e+001°)
2.25423921215239e+002	(1.08349118527376e+002dB,9.01030018909426e+001°)
2.25943577022094e+002	(1.08329118486654e+002dB,9.01032393355451e+001°)
2.26464430759302e+002	(1.08309118445744e+002dB,9.01034773275429e+001°)
2.26986485188378e+002	(1.08289118404646e+002dB,9.01037158681687e+001°)
2.27509743077203e+002	(1.08269118363358e+002dB,9.01039549587063e+001°)
2.28034207200038e+002	(1.08249118321879e+002dB,9.01041946003906e+001°)
2.28559880337539e+002	(1.08229118280209e+002dB,9.01044347945069e+001°)
2.29086765276773e+002	(1.08209118238346e+002dB,9.01046755423571e+001°)
2.29614864811232e+002	(1.08189118196290e+002dB,9.01049168451612e+001°)
2.30144181740846e+002	(1.08169118154040e+002dB,9.01051587042540e+001°)
2.30674718872003e+002	(1.08149118111595e+002dB,9.01054011209205e+001°)
2.31206479017555e+002	(1.08129118068955e+002dB,9.01056440963645e+001°)
2.31739464996843e+002	(1.08109118026117e+002dB,9.01058876319674e+001°)
2.32273679635706e+002	(1.08089117983082e+002dB,9.01061317289638e+001°)
