Freq.	I(R1)
1.33659551654643e-001	(-1.01516403398582e+002dB,-9.00240587178682e+001°)
1.33967668742593e-001	(-1.01496403402117e+002dB,-9.00241141789505e+001°)
1.34276496113785e-001	(-1.01476403405668e+002dB,-9.00241697678508e+001°)
1.34586035405594e-001	(-1.01456403409235e+002dB,-9.00242254849364e+001°)
1.34896288259164e-001	(-1.01436403412819e+002dB,-9.00242813304441e+001°)
1.35207256319427e-001	(-1.01416403416419e+002dB,-9.00243373046755e+001°)
1.35518941235103e-001	(-1.01396403420036e+002dB,-9.00243934079522e+001°)
1.35831344658714e-001	(-1.01376403423669e+002dB,-9.00244496405554e+001°)
1.36144468246594e-001	(-1.01356403427320e+002dB,-9.00245060028009e+001°)
1.36458313658891e-001	(-1.01336403430987e+002dB,-9.00245624949493e+001°)
1.36772882559584e-001	(-1.01316403434671e+002dB,-9.00246191173553e+001°)
1.37088176616484e-001	(-1.01296403438372e+002dB,-9.00246758702739e+001°)
1.37404197501250e-001	(-1.01276403442090e+002dB,-9.00247327540092e+001°)
1.37720946889394e-001	(-1.01256403445826e+002dB,-9.00247897689138e+001°)
1.38038426460287e-001	(-1.01236403449578e+002dB,-9.00248469151972e+001°)
1.38356637897177e-001	(-1.01216403453348e+002dB,-9.00249041932500e+001°)
1.38675582887188e-001	(-1.01196403457135e+002dB,-9.00249616033343e+001°)
1.38995263121334e-001	(-1.01176403460940e+002dB,-9.00250191457899e+001°)
1.39315680294529e-001	(-1.01156403464762e+002dB,-9.00250768208585e+001°)
1.39636836105593e-001	(-1.01136403468602e+002dB,-9.00251346289023e+001°)
1.39958732257261e-001	(-1.01116403472460e+002dB,-9.00251925701856e+001°)
1.40281370456195e-001	(-1.01096403476336e+002dB,-9.00252506450350e+001°)
1.40604752412990e-001	(-1.01076403480229e+002dB,-9.00253088537661e+001°)
1.40928879842186e-001	(-1.01056403484140e+002dB,-9.00253671967126e+001°)
1.41253754462274e-001	(-1.01036403488070e+002dB,-9.00254256741258e+001°)
1.41579377995707e-001	(-1.01016403492017e+002dB,-9.00254842863754e+001°)
1.41905752168908e-001	(-1.00996403495983e+002dB,-9.00255430337060e+001°)
1.42232878712281e-001	(-1.00976403499967e+002dB,-9.00256019164658e+001°)
1.42560759360218e-001	(-1.00956403503970e+002dB,-9.00256609349637e+001°)
1.42889395851109e-001	(-1.00936403507991e+002dB,-9.00257200895117e+001°)
1.43218789927353e-001	(-1.00916403512030e+002dB,-9.00257793804398e+001°)
1.43548943335364e-001	(-1.00896403516089e+002dB,-9.00258388080386e+001°)
1.43879857825583e-001	(-1.00876403520165e+002dB,-9.00258983726443e+001°)
1.44211535152486e-001	(-1.00856403524261e+002dB,-9.00259580745542e+001°)
1.44543977074591e-001	(-1.00836403528376e+002dB,-9.00260179140827e+001°)
1.44877185354475e-001	(-1.00816403532509e+002dB,-9.00260778915756e+001°)
1.45211161758773e-001	(-1.00796403536662e+002dB,-9.00261380072973e+001°)
1.45545908058195e-001	(-1.00776403540834e+002dB,-9.00261982616135e+001°)
1.45881426027534e-001	(-1.00756403545025e+002dB,-9.00262586548505e+001°)
1.46217717445671e-001	(-1.00736403549236e+002dB,-9.00263191872821e+001°)
1.46554784095590e-001	(-1.00716403553465e+002dB,-9.00263798592820e+001°)
1.46892627764385e-001	(-1.00696403557715e+002dB,-9.00264406711158e+001°)
1.47231250243271e-001	(-1.00676403561984e+002dB,-9.00265016231488e+001°)
1.47570653327588e-001	(-1.00656403566273e+002dB,-9.00265627156933e+001°)
1.47910838816819e-001	(-1.00636403570581e+002dB,-9.00266239490646e+001°)
1.48251808514594e-001	(-1.00616403574910e+002dB,-9.00266853236078e+001°)
1.48593564228699e-001	(-1.00596403579258e+002dB,-9.00267468396293e+001°)
1.48936107771090e-001	(-1.00576403583626e+002dB,-9.00268084974245e+001°)
1.49279440957898e-001	(-1.00556403588015e+002dB,-9.00268702974136e+001°)
1.49623565609442e-001	(-1.00536403592424e+002dB,-9.00269322398287e+001°)
1.49968483550236e-001	(-1.00516403596853e+002dB,-9.00269943250536e+001°)
1.50314196609001e-001	(-1.00496403601303e+002dB,-9.00270565533928e+001°)
1.50660706618673e-001	(-1.00476403605773e+002dB,-9.00271189251531e+001°)
1.51008015416413e-001	(-1.00456403610264e+002dB,-9.00271814407511e+001°)
1.51356124843619e-001	(-1.00436403614776e+002dB,-9.00272441004172e+001°)
1.51705036745932e-001	(-1.00416403619308e+002dB,-9.00273069045313e+001°)
1.52054752973248e-001	(-1.00396403623861e+002dB,-9.00273698534350e+001°)
1.52405275379728e-001	(-1.00376403628436e+002dB,-9.00274329474850e+001°)
1.52756605823806e-001	(-1.00356403633031e+002dB,-9.00274961869333e+001°)
1.53108746168202e-001	(-1.00336403637648e+002dB,-9.00275595721800e+001°)
1.53461698279928e-001	(-1.00316403642286e+002dB,-9.00276231035470e+001°)
1.53815464030302e-001	(-1.00296403646945e+002dB,-9.00276867813843e+001°)
1.54170045294954e-001	(-1.00276403651626e+002dB,-9.00277506059778e+001°)
1.54525443953840e-001	(-1.00256403656329e+002dB,-9.00278145777329e+001°)
1.54881661891247e-001	(-1.00236403661053e+002dB,-9.00278786969386e+001°)
1.55238700995807e-001	(-1.00216403665799e+002dB,-9.00279429639768e+001°)
1.55596563160506e-001	(-1.00196403670567e+002dB,-9.00280073791393e+001°)
1.55955250282694e-001	(-1.00176403675357e+002dB,-9.00280719427974e+001°)
1.56314764264094e-001	(-1.00156403680169e+002dB,-9.00281366553105e+001°)
1.56675107010813e-001	(-1.00136403685003e+002dB,-9.00282015169873e+001°)
1.57036280433354e-001	(-1.00116403689860e+002dB,-9.00282665281894e+001°)
1.57398286446620e-001	(-1.00096403694739e+002dB,-9.00283316892664e+001°)
1.57761126969933e-001	(-1.00076403699640e+002dB,-9.00283970005305e+001°)
1.58124803927037e-001	(-1.00056403704564e+002dB,-9.00284624623588e+001°)
1.58489319246110e-001	(-1.00036403709511e+002dB,-9.00285280751039e+001°)
1.58854674859776e-001	(-1.00016403714481e+002dB,-9.00285938390932e+001°)
1.59220872705115e-001	(-9.99964037194736e+001dB,-9.00286597547062e+001°)
1.59587914723672e-001	(-9.99764037244893e+001dB,-9.00287258222465e+001°)
1.59955802861465e-001	(-9.99564037295281e+001dB,-9.00287920420949e+001°)
1.60324539069002e-001	(-9.99364037345902e+001dB,-9.00288584145944e+001°)
1.60694125301286e-001	(-9.99164037396756e+001dB,-9.00289249400888e+001°)
1.61064563517825e-001	(-9.98964037447846e+001dB,-9.00289916189599e+001°)
1.61435855682647e-001	(-9.98764037499171e+001dB,-9.00290584515146e+001°)
1.61808003764305e-001	(-9.98564037550733e+001dB,-9.00291254381732e+001°)
1.62181009735891e-001	(-9.98364037602533e+001dB,-9.00291925792182e+001°)
1.62554875575047e-001	(-9.98164037654572e+001dB,-9.00292598750701e+001°)
1.62929603263970e-001	(-9.97964037706851e+001dB,-9.00293273260247e+001°)
1.63305194789432e-001	(-9.97764037759372e+001dB,-9.00293949324653e+001°)
1.63681652142779e-001	(-9.97564037812135e+001dB,-9.00294626947874e+001°)
1.64058977319952e-001	(-9.97364037865142e+001dB,-9.00295306133122e+001°)
1.64437172321491e-001	(-9.97164037918393e+001dB,-9.00295986883732e+001°)
1.64816239152549e-001	(-9.96964037971890e+001dB,-9.00296669204027e+001°)
1.65196179822900e-001	(-9.96764038025634e+001dB,-9.00297353096971e+001°)
1.65576996346951e-001	(-9.96564038079626e+001dB,-9.00298038566512e+001°)
1.65958690743754e-001	(-9.96364038133868e+001dB,-9.00298725616347e+001°)
1.66341265037015e-001	(-9.96164038188359e+001dB,-9.00299414249804e+001°)
1.66724721255104e-001	(-9.95964038243102e+001dB,-9.00300104470696e+001°)
1.67109061431069e-001	(-9.95764038298098e+001dB,-9.00300796282830e+001°)
1.67494287602642e-001	(-9.95564038353348e+001dB,-9.00301489689766e+001°)
1.67880401812254e-001	(-9.95364038408853e+001dB,-9.00302184695418e+001°)
1.68267406107045e-001	(-9.95164038464614e+001dB,-9.00302881302733e+001°)
1.68655302538872e-001	(-9.94964038520632e+001dB,-9.00303579516096e+001°)
1.69044093164324e-001	(-9.94764038576909e+001dB,-9.00304279339280e+001°)
1.69433780044731e-001	(-9.94564038633445e+001dB,-9.00304980775214e+001°)
1.69824365246172e-001	(-9.94364038690243e+001dB,-9.00305683828494e+001°)
1.70215850839493e-001	(-9.94164038747303e+001dB,-9.00306388502390e+001°)
1.70608238900310e-001	(-9.93964038804626e+001dB,-9.00307094800642e+001°)
1.71001531509027e-001	(-9.93764038862214e+001dB,-9.00307802727099e+001°)
1.71395730750840e-001	(-9.93564038920067e+001dB,-9.00308512285715e+001°)
1.71790838715757e-001	(-9.93364038978188e+001dB,-9.00309223479724e+001°)
1.72186857498599e-001	(-9.93164039036577e+001dB,-9.00309936313294e+001°)
1.72583789199018e-001	(-9.92964039095235e+001dB,-9.00310650790226e+001°)
1.72981635921508e-001	(-9.92764039154164e+001dB,-9.00311366913955e+001°)
1.73380399775412e-001	(-9.92564039213365e+001dB,-9.00312084688608e+001°)
1.73780082874935e-001	(-9.92364039272840e+001dB,-9.00312804118059e+001°)
1.74180687339159e-001	(-9.92164039332589e+001dB,-9.00313525205937e+001°)
1.74582215292048e-001	(-9.91964039392613e+001dB,-9.00314247955973e+001°)
1.74984668862463e-001	(-9.91764039452915e+001dB,-9.00314972372228e+001°)
1.75388050184174e-001	(-9.91564039513495e+001dB,-9.00315698458286e+001°)
1.75792361395867e-001	(-9.91364039574355e+001dB,-9.00316426218290e+001°)
1.76197604641161e-001	(-9.91164039635496e+001dB,-9.00317155655904e+001°)
1.76603782068614e-001	(-9.90964039696918e+001dB,-9.00317886775004e+001°)
1.77010895831740e-001	(-9.90764039758625e+001dB,-9.00318619579677e+001°)
1.77418948089014e-001	(-9.90564039820616e+001dB,-9.00319354073531e+001°)
1.77827941003890e-001	(-9.90364039882893e+001dB,-9.00320090260501e+001°)
1.78237876744807e-001	(-9.90164039945458e+001dB,-9.00320828144612e+001°)
1.78648757485203e-001	(-9.89964040008312e+001dB,-9.00321567729755e+001°)
1.79060585403527e-001	(-9.89764040071455e+001dB,-9.00322309019687e+001°)
1.79473362683250e-001	(-9.89564040134891e+001dB,-9.00323052018480e+001°)
1.79887091512876e-001	(-9.89364040198618e+001dB,-9.00323796730187e+001°)
1.80301774085954e-001	(-9.89164040262641e+001dB,-9.00324543158719e+001°)
1.80717412601090e-001	(-9.88964040326958e+001dB,-9.00325291307744e+001°)
1.81134009261958e-001	(-9.88764040391573e+001dB,-9.00326041181576e+001°)
1.81551566277311e-001	(-9.88564040456485e+001dB,-9.00326792783832e+001°)
1.81970085860996e-001	(-9.88364040521698e+001dB,-9.00327546118887e+001°)
1.82389570231961e-001	(-9.88164040587211e+001dB,-9.00328301190531e+001°)
1.82810021614272e-001	(-9.87964040653027e+001dB,-9.00329058002640e+001°)
1.83231442237119e-001	(-9.87764040719147e+001dB,-9.00329816559504e+001°)
1.83653834334832e-001	(-9.87564040785571e+001dB,-9.00330576865054e+001°)
1.84077200146893e-001	(-9.87364040852303e+001dB,-9.00331338923412e+001°)
1.84501541917945e-001	(-9.87164040919342e+001dB,-9.00332102738234e+001°)
1.84926861897805e-001	(-9.86964040986691e+001dB,-9.00332868313913e+001°)
1.85353162341479e-001	(-9.86764041054351e+001dB,-9.00333635654482e+001°)
1.85780445509167e-001	(-9.86564041122323e+001dB,-9.00334404763946e+001°)
1.86208713666284e-001	(-9.86364041190608e+001dB,-9.00335175646384e+001°)
1.86637969083464e-001	(-9.86164041259209e+001dB,-9.00335948305846e+001°)
1.87068214036577e-001	(-9.85964041328127e+001dB,-9.00336722746459e+001°)
1.87499450806739e-001	(-9.85764041397363e+001dB,-9.00337498972313e+001°)
1.87931681680324e-001	(-9.85564041466918e+001dB,-9.00338276987575e+001°)
1.88364908948977e-001	(-9.85364041536794e+001dB,-9.00339056796593e+001°)
1.88799134909627e-001	(-9.85164041606993e+001dB,-9.00339838403033e+001°)
1.89234361864495e-001	(-9.84964041677516e+001dB,-9.00340621811280e+001°)
1.89670592121112e-001	(-9.84764041748364e+001dB,-9.00341407025467e+001°)
1.90107827992327e-001	(-9.84564041819540e+001dB,-9.00342194049691e+001°)
1.90546071796322e-001	(-9.84364041891044e+001dB,-9.00342982888226e+001°)
1.90985325856621e-001	(-9.84164041962878e+001dB,-9.00343773545199e+001°)
1.91425592502106e-001	(-9.83964042035043e+001dB,-9.00344566025020e+001°)
1.91866874067026e-001	(-9.83764042107542e+001dB,-9.00345360331423e+001°)
1.92309172891013e-001	(-9.83564042180375e+001dB,-9.00346156469054e+001°)
1.92752491319091e-001	(-9.83364042253545e+001dB,-9.00346954441992e+001°)
1.93196831701689e-001	(-9.83164042327052e+001dB,-9.00347754254380e+001°)
1.93642196394658e-001	(-9.82964042400898e+001dB,-9.00348555910531e+001°)
1.94088587759275e-001	(-9.82764042475086e+001dB,-9.00349359414612e+001°)
1.94536008162263e-001	(-9.82564042549616e+001dB,-9.00350164770953e+001°)
1.94984459975802e-001	(-9.82364042624489e+001dB,-9.00350971984157e+001°)
1.95433945577536e-001	(-9.82164042699709e+001dB,-9.00351781057742e+001°)
1.95884467350596e-001	(-9.81964042775275e+001dB,-9.00352591996740e+001°)
1.96336027683602e-001	(-9.81764042851191e+001dB,-9.00353404805101e+001°)
1.96788628970681e-001	(-9.81564042927457e+001dB,-9.00354219487143e+001°)
1.97242273611482e-001	(-9.81364043004075e+001dB,-9.00355036047141e+001°)
1.97696964011183e-001	(-9.81164043081046e+001dB,-9.00355854489424e+001°)
1.98152702580507e-001	(-9.80964043158373e+001dB,-9.00356674818582e+001°)
1.98609491735734e-001	(-9.80764043236056e+001dB,-9.00357497038645e+001°)
1.99067333898716e-001	(-9.80564043314099e+001dB,-9.00358321154211e+001°)
1.99526231496885e-001	(-9.80364043392501e+001dB,-9.00359147169620e+001°)
1.99986186963271e-001	(-9.80164043471266e+001dB,-9.00359975089165e+001°)
2.00447202736513e-001	(-9.79964043550394e+001dB,-9.00360804917092e+001°)
2.00909281260870e-001	(-9.79764043629887e+001dB,-9.00361636658100e+001°)
2.01372424986236e-001	(-9.79564043709747e+001dB,-9.00362470316733e+001°)
2.01836636368153e-001	(-9.79364043789976e+001dB,-9.00363305896782e+001°)
2.02301917867824e-001	(-9.79164043870575e+001dB,-9.00364143403093e+001°)
2.02768271952125e-001	(-9.78964043951546e+001dB,-9.00364982840253e+001°)
2.03235701093619e-001	(-9.78764044032891e+001dB,-9.00365824212201e+001°)
2.03704207770569e-001	(-9.78564044114611e+001dB,-9.00366667523817e+001°)
2.04173794466950e-001	(-9.78364044196709e+001dB,-9.00367512779628e+001°)
2.04644463672464e-001	(-9.78164044279185e+001dB,-9.00368359983806e+001°)
2.05116217882553e-001	(-9.77964044362042e+001dB,-9.00369209141066e+001°)
2.05589059598411e-001	(-9.77764044445282e+001dB,-9.00370060255767e+001°)
2.06062991326997e-001	(-9.77564044528906e+001dB,-9.00370913332705e+001°)
2.06538015581050e-001	(-9.77364044612915e+001dB,-9.00371768375734e+001°)
2.07014134879101e-001	(-9.77164044697313e+001dB,-9.00372625390220e+001°)
2.07491351745488e-001	(-9.76964044782100e+001dB,-9.00373484380196e+001°)
2.07969668710366e-001	(-9.76764044867278e+001dB,-9.00374345350321e+001°)
2.08449088309725e-001	(-9.76564044952850e+001dB,-9.00375208305291e+001°)
2.08929613085400e-001	(-9.76364045038817e+001dB,-9.00376073249546e+001°)
2.09411245585086e-001	(-9.76164045125180e+001dB,-9.00376940187663e+001°)
2.09893988362349e-001	(-9.75964045211942e+001dB,-9.00377809124346e+001°)
2.10377843976644e-001	(-9.75764045299105e+001dB,-9.00378680063951e+001°)
2.10862814993325e-001	(-9.75564045386670e+001dB,-9.00379553011541e+001°)
2.11348903983661e-001	(-9.75364045474639e+001dB,-9.00380427971345e+001°)
2.11836113524847e-001	(-9.75164045563014e+001dB,-9.00381304948009e+001°)
2.12324446200018e-001	(-9.74964045651797e+001dB,-9.00382183946498e+001°)
2.12813904598267e-001	(-9.74764045740990e+001dB,-9.00383064971139e+001°)
2.13304491314654e-001	(-9.74564045830594e+001dB,-9.00383948026952e+001°)
2.13796208950219e-001	(-9.74364045920613e+001dB,-9.00384833118325e+001°)
2.14289060112002e-001	(-9.74164046011046e+001dB,-9.00385720249860e+001°)
2.14783047413050e-001	(-9.73964046101897e+001dB,-9.00386609426663e+001°)
2.15278173472433e-001	(-9.73764046193168e+001dB,-9.00387500653013e+001°)
2.15774440915263e-001	(-9.73564046284859e+001dB,-9.00388393934064e+001°)
2.16271852372698e-001	(-9.73364046376974e+001dB,-9.00389289274430e+001°)
2.16770410481966e-001	(-9.73164046469514e+001dB,-9.00390186678562e+001°)
2.17270117886371e-001	(-9.72964046562481e+001dB,-9.00391086151495e+001°)
2.17770977235312e-001	(-9.72764046655878e+001dB,-9.00391987697729e+001°)
2.18272991184296e-001	(-9.72564046749705e+001dB,-9.00392891322712e+001°)
2.18776162394951e-001	(-9.72364046843966e+001dB,-9.00393797030150e+001°)
2.19280493535041e-001	(-9.72164046938662e+001dB,-9.00394704825901e+001°)
2.19785987278478e-001	(-9.71964047033794e+001dB,-9.00395614714270e+001°)
2.20292646305342e-001	(-9.71764047129366e+001dB,-9.00396526700131e+001°)
2.20800473301886e-001	(-9.71564047225379e+001dB,-9.00397440788195e+001°)
2.21309470960560e-001	(-9.71364047321835e+001dB,-9.00398356983557e+001°)
2.21819641980018e-001	(-9.71164047418737e+001dB,-9.00399275290867e+001°)
2.22330989065136e-001	(-9.70964047516085e+001dB,-9.00400195715157e+001°)
2.22843514927026e-001	(-9.70764047613883e+001dB,-9.00401118261382e+001°)
